gid,authoritativeCounty,authoritativeSubCounty,authoritativeWard,expectedCountyId,expectedSubCountyId,actualWardId,actualCountyId,actualSubCountyId,actualSubCountyName,status
241,ISIOLO,Isiolo Sub County,WABERA,48,1310,1024,48,1310,Isiolo,CORRECT
1455,Migori,Rongo Sub County,North Kamagambo Ward,49,1552,1025,49,1552,Rongo,CORRECT
1456,Migori,Rongo Sub County,Central Kamagambo Ward,49,1552,1026,49,1552,Rongo,CORRECT
1457,Migori,Rongo Sub County,South Kamagambo Ward,49,1552,1027,49,1552,Rongo,CORRECT
1458,Migori,Awendo Sub County,North Sakwa Ward,49,1548,1028,49,1548,Awendo,CORRECT
1459,Migori,Awendo Sub County,South Sakwa Ward,49,1548,1029,49,1548,Awendo,CORRECT
1460,Migori,Awendo Sub County,West Sakwa Ward,49,1548,1030,49,1548,Awendo,CORRECT
1461,Migori,Awendo Sub County,Central Sakwa Ward,49,1548,1031,49,1548,Awendo,CORRECT
1462,Migori,Suna East Sub County,God Jope  Ward,49,1553,1032,49,1553,Suna East,CORRECT
1463,Migori,Suna East Sub County,Suna Central Ward,49,1553,1033,49,1553,Suna East,CORRECT
1464,Migori,Suna East Sub County,Kakrao Ward,49,1553,1034,49,1553,Suna East,CORRECT
1465,Migori,Suna East Sub County,Kwa Ward,49,1553,1035,49,1553,Suna East,CORRECT
1466,Migori,Suna West Sub County,Wiga Ward,49,1554,1036,49,1554,Suna West,CORRECT
1467,Migori,Suna West Sub County,Waseweta Ii Ward,49,1554,1037,49,1554,Suna West,CORRECT
1468,Migori,Suna West Sub County,Ragana-oruba Ward,49,1554,1038,49,1554,Suna West,CORRECT
1469,Migori,Suna West Sub County,Wasimbete Ward,49,1554,1039,49,1554,Suna West,CORRECT
1470,Migori,Uriri Sub County,West Kanyamkago Ward,49,1555,1040,49,1555,Uriri,CORRECT
1471,Migori,Uriri Sub County,North  Kanyamkago Ward,49,1555,1041,49,1555,Uriri,CORRECT
1472,Migori,Uriri Sub County,Central Kanyamkago Ward,49,1555,1042,49,1555,Uriri,CORRECT
1473,Migori,Uriri Sub County,South Kanyamkago Ward,49,1555,1043,49,1555,Uriri,CORRECT
1474,Migori,Uriri Sub County,East Kanyamkago Ward,49,1555,1044,49,1555,Uriri,CORRECT
1475,Migori,Nyatike Sub County,Kachieng' Ward,49,1551,1045,49,1551,Nyatike,CORRECT
1486,Migori,Kuria West Sub County,Masaba Ward,49,1550,1046,49,1550,Kuria West,CORRECT
1490,Migori,Kuria East Sub County,Ntimaru West Ward,49,1549,1047,49,1549,Kuria East,CORRECT
1520,Machakos,Athi River Sub County,Mathatani Ward,50,1351,1048,50,1351,Athi River,CORRECT
1521,Machakos,Athi River Sub County,Syokimau-mulolongo Ward,50,1351,1049,50,1351,Athi River,CORRECT
1522,Machakos,Machakos Sub County,Kalama Ward,50,1355,1050,50,1355,Machakos,CORRECT
1523,Machakos,Machakos Sub County,Mua Ward,50,1355,1051,50,1355,Machakos,CORRECT
1524,Machakos,Machakos Sub County,Mutituni Ward,50,1355,1052,50,1355,Machakos,CORRECT
