gid,authoritativeCounty,authoritativeSubCounty,authoritativeWard,normalizedCounty,normalizedSubCounty,actualWardId,actualCountyId,actualCountyName,actualSubCountyId,actualSubCountyName,candidateCountyIds,candidateSubCountyIds,candidateSubCountyNames,status,reason
241,ISIOLO,Isiolo Sub County,WABERA,isiolo,isiolo,1024,48,Isiolo,1310,Isiolo,48,1310,Isiolo,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1455,Migori,Rongo Sub County,North Kamagambo Ward,migori,rongo,1025,49,Migori,1552,Rongo,49,1552,Rongo,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1456,Migori,Rongo Sub County,Central Kamagambo Ward,migori,rongo,1026,49,Migori,1552,Rongo,49,1552,Rongo,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1457,Migori,Rongo Sub County,South Kamagambo Ward,migori,rongo,1027,49,Migori,1552,Rongo,49,1552,Rongo,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1458,Migori,Awendo Sub County,North Sakwa Ward,migori,awendo,1028,49,Migori,1548,Awendo,49,1548,Awendo,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1459,Migori,Awendo Sub County,South Sakwa Ward,migori,awendo,1029,49,Migori,1548,Awendo,49,1548,Awendo,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1460,Migori,Awendo Sub County,West Sakwa Ward,migori,awendo,1030,49,Migori,1548,Awendo,49,1548,Awendo,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1461,Migori,Awendo Sub County,Central Sakwa Ward,migori,awendo,1031,49,Migori,1548,Awendo,49,1548,Awendo,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1462,Migori,Suna East Sub County,God Jope  Ward,migori,sunaeast,1032,49,Migori,1553,Suna East,49,1553,Suna East,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1463,Migori,Suna East Sub County,Suna Central Ward,migori,sunaeast,1033,49,Migori,1553,Suna East,49,1553,Suna East,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1464,Migori,Suna East Sub County,Kakrao Ward,migori,sunaeast,1034,49,Migori,1553,Suna East,49,1553,Suna East,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1465,Migori,Suna East Sub County,Kwa Ward,migori,sunaeast,1035,49,Migori,1553,Suna East,49,1553,Suna East,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1466,Migori,Suna West Sub County,Wiga Ward,migori,sunawest,1036,49,Migori,1554,Suna West,49,1554,Suna West,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1467,Migori,Suna West Sub County,Waseweta Ii Ward,migori,sunawest,1037,49,Migori,1554,Suna West,49,1554,Suna West,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1468,Migori,Suna West Sub County,Ragana-oruba Ward,migori,sunawest,1038,49,Migori,1554,Suna West,49,1554,Suna West,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1469,Migori,Suna West Sub County,Wasimbete Ward,migori,sunawest,1039,49,Migori,1554,Suna West,49,1554,Suna West,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1470,Migori,Uriri Sub County,West Kanyamkago Ward,migori,uriri,1040,49,Migori,1555,Uriri,49,1555,Uriri,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1471,Migori,Uriri Sub County,North  Kanyamkago Ward,migori,uriri,1041,49,Migori,1555,Uriri,49,1555,Uriri,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1472,Migori,Uriri Sub County,Central Kanyamkago Ward,migori,uriri,1042,49,Migori,1555,Uriri,49,1555,Uriri,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1473,Migori,Uriri Sub County,South Kanyamkago Ward,migori,uriri,1043,49,Migori,1555,Uriri,49,1555,Uriri,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1474,Migori,Uriri Sub County,East Kanyamkago Ward,migori,uriri,1044,49,Migori,1555,Uriri,49,1555,Uriri,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1475,Migori,Nyatike Sub County,Kachieng' Ward,migori,nyatike,1045,49,Migori,1551,Nyatike,49,1551,Nyatike,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1486,Migori,Kuria West Sub County,Masaba Ward,migori,kuriawest,1046,49,Migori,1550,Kuria West,49,1550,Kuria West,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1490,Migori,Kuria East Sub County,Ntimaru West Ward,migori,kuriaeast,1047,49,Migori,1549,Kuria East,49,1549,Kuria East,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1520,Machakos,Athi River Sub County,Mathatani Ward,machakos,athiriver,1048,50,Machakos,1351,Athi River,50,1351,Athi River,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1521,Machakos,Athi River Sub County,Syokimau-mulolongo Ward,machakos,athiriver,1049,50,Machakos,1351,Athi River,50,1351,Athi River,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1522,Machakos,Machakos Sub County,Kalama Ward,machakos,machakos,1050,50,Machakos,1355,Machakos,50,1355,Machakos,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1523,Machakos,Machakos Sub County,Mua Ward,machakos,machakos,1051,50,Machakos,1355,Machakos,50,1355,Machakos,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1524,Machakos,Machakos Sub County,Mutituni Ward,machakos,machakos,1052,50,Machakos,1355,Machakos,50,1355,Machakos,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
