gid,wardId,wardName,authoritativeCounty,authoritativeSubCounty,databaseCounty,databaseCountyId,databaseSubCounty,databaseSubCountyId,countyIdentityMatch,subCountyIdentityMatch,status,countyNormalizedAuthoritative,countyNormalizedDatabase,subCountyNormalizedAuthoritative,subCountyNormalizedDatabase,wardUid,wardScuid,wardCuid,population2009
2044,1616,Mathare North Ward,Nairobi,Ruaraka  Sub County,Nairobi City,79,Ruaraka  Sub County,405,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,ruaraka,ruaraka,,,,55158
2047,1619,Imara Daima Ward,Nairobi,Embakasi South Sub County,Nairobi City,79,Embakasi South Sub County,407,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,embakasisouth,embakasisouth,,,,70641
781,1837,Tirioko Ward,BARINGO,Tiaty Sub County,Baringo,90,Tiaty East,757,true,false,UNRESOLVED,baringo,baringo,tiaty,tiatyeast,,,,23669
782,1838,Kolowa Ward,BARINGO,Tiaty Sub County,Baringo,90,Tiaty East,757,true,false,UNRESOLVED,baringo,baringo,tiaty,tiatyeast,,,,19499
783,1839,Ribkwo Ward,BARINGO,Tiaty Sub County,Baringo,90,Tiaty East,757,true,false,UNRESOLVED,baringo,baringo,tiaty,tiatyeast,,,,14572
784,1840,Silale Ward,BARINGO,Tiaty Sub County,Baringo,90,Tiaty East,757,true,false,UNRESOLVED,baringo,baringo,tiaty,tiatyeast,,,,21947
785,1841,Loiyamorok Ward,BARINGO,Tiaty Sub County,Baringo,90,Tiaty East,757,true,false,UNRESOLVED,baringo,baringo,tiaty,tiatyeast,,,,13885
2008,1943,Parklands/highridge Ward,Nairobi,Westlands  Sub County,Nairobi City,79,Westlands  Sub County,486,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,westlands,westlands,,,,38384
2012,1944,Kilimani Ward,Nairobi,Dagoretti North Sub County,Nairobi City,79,Dagoretti North Sub County,487,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,dagorettinorth,dagorettinorth,,,,43122
2015,1945,Kileleshwa Ward,Nairobi,Dagoretti North Sub County,Nairobi City,79,Dagoretti North Sub County,487,false,true,SOURCE_DB_CONTRADICTION,nairobi,nairobicity,dagorettinorth,dagorettinorth,,,,27202
