gid,authoritativeCounty,authoritativeSubCounty,authoritativeWard,databaseWardId,databaseWardName,databaseCountyId,databaseCountyName,databaseSubCountyId,databaseSubCountyName,countyExact,countyNormalized,subCountyExact,subCountyNormalized,classification,reason
241,ISIOLO,Isiolo Sub County,WABERA,1024,WABERA,48,Isiolo,1310,Isiolo,false,true,false,true,NAME_VARIANT_SAME_IDENTITY,County and SubCounty differ textually but resolve to the same normalized relational identities.
1455,Migori,Rongo Sub County,North Kamagambo Ward,1025,North Kamagambo Ward,49,Migori,1552,Rongo,true,true,false,true,NAME_VARIANT_SAME_IDENTITY,SubCounty differs textually but resolves to the same normalized SubCounty identity.
1456,Migori,Rongo Sub County,Central Kamagambo Ward,1026,Central Kamagambo Ward,49,Migori,1552,Rongo,true,true,false,true,NAME_VARIANT_SAME_IDENTITY,SubCounty differs textually but resolves to the same normalized SubCounty identity.
1457,Migori,Rongo Sub County,South Kamagambo Ward,1027,South Kamagambo Ward,49,Migori,1552,Rongo,true,true,false,true,NAME_VARIANT_SAME_IDENTITY,SubCounty differs textually but resolves to the same normalized SubCounty identity.
1458,Migori,Awendo Sub County,North Sakwa Ward,1028,North Sakwa Ward,49,Migori,1548,Awendo,true,true,false,true,NAME_VARIANT_SAME_IDENTITY,SubCounty differs textually but resolves to the same normalized SubCounty identity.
1459,Migori,Awendo Sub County,South Sakwa Ward,1029,South Sakwa Ward,49,Migori,1548,Awendo,true,true,false,true,NAME_VARIANT_SAME_IDENTITY,SubCounty differs textually but resolves to the same normalized SubCounty identity.
1460,Migori,Awendo Sub County,West Sakwa Ward,1030,West Sakwa Ward,49,Migori,1548,Awendo,true,true,false,true,NAME_VARIANT_SAME_IDENTITY,SubCounty differs textually but resolves to the same normalized SubCounty identity.
1461,Migori,Awendo Sub County,Central Sakwa Ward,1031,Central Sakwa Ward,49,Migori,1548,Awendo,true,true,false,true,NAME_VARIANT_SAME_IDENTITY,SubCounty differs textually but resolves to the same normalized SubCounty identity.
1462,Migori,Suna East Sub County,God Jope  Ward,1032,God Jope  Ward,49,Migori,1553,Suna East,true,true,false,true,NAME_VARIANT_SAME_IDENTITY,SubCounty differs textually but resolves to the same normalized SubCounty identity.
1463,Migori,Suna East Sub County,Suna Central Ward,1033,Suna Central Ward,49,Migori,1553,Suna East,true,true,false,true,NAME_VARIANT_SAME_IDENTITY,SubCounty differs textually but resolves to the same normalized SubCounty identity.
