gid,authoritativeCounty,authoritativeSubCounty,authoritativeWard,databaseWardId,databaseWardName,databaseCountyId,databaseCountyName,databaseSubCountyId,databaseSubCountyName,countyExact,countyNormalized,subCountyExact,subCountyNormalized,classification,reason
2044,Nairobi,Ruaraka  Sub County,Mathare North Ward,1616,Mathare North Ward,79,Nairobi City,405,Ruaraka  Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2047,Nairobi,Embakasi South Sub County,Imara Daima Ward,1619,Imara Daima Ward,79,Nairobi City,407,Embakasi South Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
781,BARINGO,Tiaty Sub County,Tirioko Ward,1837,Tirioko Ward,90,Baringo,757,Tiaty East,false,true,false,false,UNRESOLVED,Authoritative SubCounty name does not normalize to the actual database SubCounty reached through Ward.sourceGid.
782,BARINGO,Tiaty Sub County,Kolowa Ward,1838,Kolowa Ward,90,Baringo,757,Tiaty East,false,true,false,false,UNRESOLVED,Authoritative SubCounty name does not normalize to the actual database SubCounty reached through Ward.sourceGid.
783,BARINGO,Tiaty Sub County,Ribkwo Ward,1839,Ribkwo Ward,90,Baringo,757,Tiaty East,false,true,false,false,UNRESOLVED,Authoritative SubCounty name does not normalize to the actual database SubCounty reached through Ward.sourceGid.
784,BARINGO,Tiaty Sub County,Silale Ward,1840,Silale Ward,90,Baringo,757,Tiaty East,false,true,false,false,UNRESOLVED,Authoritative SubCounty name does not normalize to the actual database SubCounty reached through Ward.sourceGid.
785,BARINGO,Tiaty Sub County,Loiyamorok Ward,1841,Loiyamorok Ward,90,Baringo,757,Tiaty East,false,true,false,false,UNRESOLVED,Authoritative SubCounty name does not normalize to the actual database SubCounty reached through Ward.sourceGid.
2008,Nairobi,Westlands  Sub County,Parklands/highridge Ward,1943,Parklands/highridge Ward,79,Nairobi City,486,Westlands  Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2012,Nairobi,Dagoretti North Sub County,Kilimani Ward,1944,Kilimani Ward,79,Nairobi City,487,Dagoretti North Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2015,Nairobi,Dagoretti North Sub County,Kileleshwa Ward,1945,Kileleshwa Ward,79,Nairobi City,487,Dagoretti North Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2030,Nairobi,Kibra  Sub County,Woodley/kenyatta Golf Course Ward,1957,Woodley/kenyatta Golf Course Ward,79,Nairobi City,1576,Kibra,false,false,false,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2034,Nairobi,Roysambu  Sub County,Zimmerman Ward,1965,Zimmerman Ward,79,Nairobi City,492,Roysambu  Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2035,Nairobi,Roysambu  Sub County,Roysambu Ward,1966,Roysambu Ward,79,Nairobi City,492,Roysambu  Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2038,Nairobi,Kasarani  Sub County,Mwiki Ward,1967,Mwiki Ward,79,Nairobi City,1575,Kasarani,false,false,false,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2039,Nairobi,Kasarani  Sub County,Kasarani Ward,1968,Kasarani Ward,79,Nairobi City,1575,Kasarani,false,false,false,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2045,Nairobi,Ruaraka  Sub County,Lucky Summer Ward,1970,Lucky Summer Ward,79,Nairobi City,405,Ruaraka  Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
