gid,wardName,authoritativeCounty,authoritativeSubcounty,canonicalCountyCode,canonicalSubcountyCode,canonicalSubcountyName,prismaWardId,prismaWardName,prismaCountyId,prismaCountyName,prismaSubcountyId,prismaSubcountyName,expectedPrismaSubcountyId,expectedPrismaSubcountyName,ownership,resolutionType,note
241,WABERA,ISIOLO,Isiolo Sub County,011,1102,Isiolo,1024,WABERA,48,Isiolo,255,Isiolo Sub County,1310,Isiolo,WRONG_SUBCOUNTY,NORMALIZED,Expected Prisma SubCounty 1310 (Isiolo) but found 255 (Isiolo Sub County).
1455,North Kamagambo Ward,Migori,Rongo Sub County,044,4405,Rongo,1025,North Kamagambo Ward,49,Migori,1552,Rongo,1552,Rongo,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1456,Central Kamagambo Ward,Migori,Rongo Sub County,044,4405,Rongo,1026,Central Kamagambo Ward,49,Migori,1552,Rongo,1552,Rongo,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1457,South Kamagambo Ward,Migori,Rongo Sub County,044,4405,Rongo,1027,South Kamagambo Ward,49,Migori,1552,Rongo,1552,Rongo,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1458,North Sakwa Ward,Migori,Awendo Sub County,044,4401,Awendo,1028,North Sakwa Ward,49,Migori,1548,Awendo,1548,Awendo,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1459,South Sakwa Ward,Migori,Awendo Sub County,044,4401,Awendo,1029,South Sakwa Ward,49,Migori,1548,Awendo,1548,Awendo,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1460,West Sakwa Ward,Migori,Awendo Sub County,044,4401,Awendo,1030,West Sakwa Ward,49,Migori,1548,Awendo,1548,Awendo,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1461,Central Sakwa Ward,Migori,Awendo Sub County,044,4401,Awendo,1031,Central Sakwa Ward,49,Migori,1548,Awendo,1548,Awendo,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1462,God Jope  Ward,Migori,Suna East Sub County,044,4406,Suna East,1032,God Jope  Ward,49,Migori,1553,Suna East,1553,Suna East,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1463,Suna Central Ward,Migori,Suna East Sub County,044,4406,Suna East,1033,Suna Central Ward,49,Migori,1553,Suna East,1553,Suna East,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1464,Kakrao Ward,Migori,Suna East Sub County,044,4406,Suna East,1034,Kakrao Ward,49,Migori,1553,Suna East,1553,Suna East,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1465,Kwa Ward,Migori,Suna East Sub County,044,4406,Suna East,1035,Kwa Ward,49,Migori,1553,Suna East,1553,Suna East,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1466,Wiga Ward,Migori,Suna West Sub County,044,4407,Suna West,1036,Wiga Ward,49,Migori,1554,Suna West,1554,Suna West,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1467,Waseweta Ii Ward,Migori,Suna West Sub County,044,4407,Suna West,1037,Waseweta Ii Ward,49,Migori,1554,Suna West,1554,Suna West,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1468,Ragana-oruba Ward,Migori,Suna West Sub County,044,4407,Suna West,1038,Ragana-oruba Ward,49,Migori,1554,Suna West,1554,Suna West,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1469,Wasimbete Ward,Migori,Suna West Sub County,044,4407,Suna West,1039,Wasimbete Ward,49,Migori,1554,Suna West,1554,Suna West,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1470,West Kanyamkago Ward,Migori,Uriri Sub County,044,4408,Uriri,1040,West Kanyamkago Ward,49,Migori,1555,Uriri,1555,Uriri,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1471,North  Kanyamkago Ward,Migori,Uriri Sub County,044,4408,Uriri,1041,North  Kanyamkago Ward,49,Migori,1555,Uriri,1555,Uriri,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1472,Central Kanyamkago Ward,Migori,Uriri Sub County,044,4408,Uriri,1042,Central Kanyamkago Ward,49,Migori,1555,Uriri,1555,Uriri,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1473,South Kanyamkago Ward,Migori,Uriri Sub County,044,4408,Uriri,1043,South Kanyamkago Ward,49,Migori,1555,Uriri,1555,Uriri,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1474,East Kanyamkago Ward,Migori,Uriri Sub County,044,4408,Uriri,1044,East Kanyamkago Ward,49,Migori,1555,Uriri,1555,Uriri,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1475,Kachieng' Ward,Migori,Nyatike Sub County,044,4404,Nyatike,1045,Kachieng' Ward,49,Migori,1551,Nyatike,1551,Nyatike,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1486,Masaba Ward,Migori,Kuria West Sub County,044,4403,Kuria West,1046,Masaba Ward,49,Migori,1550,Kuria West,1550,Kuria West,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1490,Ntimaru West Ward,Migori,Kuria East Sub County,044,4402,Kuria East,1047,Ntimaru West Ward,49,Migori,1549,Kuria East,1549,Kuria East,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1520,Mathatani Ward,Machakos,Athi River Sub County,016,1601,Athi River,1048,Mathatani Ward,50,Machakos,264,Athi River Sub County,1351,Athi River,WRONG_SUBCOUNTY,NORMALIZED,Expected Prisma SubCounty 1351 (Athi River) but found 264 (Athi River Sub County).
1521,Syokimau-mulolongo Ward,Machakos,Athi River Sub County,016,1601,Athi River,1049,Syokimau-mulolongo Ward,50,Machakos,264,Athi River Sub County,1351,Athi River,WRONG_SUBCOUNTY,NORMALIZED,Expected Prisma SubCounty 1351 (Athi River) but found 264 (Athi River Sub County).
1522,Kalama Ward,Machakos,Machakos Sub County,016,1605,Machakos,1050,Kalama Ward,50,Machakos,265,Machakos Sub County,1355,Machakos,WRONG_SUBCOUNTY,NORMALIZED,Expected Prisma SubCounty 1355 (Machakos) but found 265 (Machakos Sub County).
1523,Mua Ward,Machakos,Machakos Sub County,016,1605,Machakos,1051,Mua Ward,50,Machakos,265,Machakos Sub County,1355,Machakos,WRONG_SUBCOUNTY,NORMALIZED,Expected Prisma SubCounty 1355 (Machakos) but found 265 (Machakos Sub County).
1524,Mutituni Ward,Machakos,Machakos Sub County,016,1605,Machakos,1052,Mutituni Ward,50,Machakos,265,Machakos Sub County,1355,Machakos,WRONG_SUBCOUNTY,NORMALIZED,Expected Prisma SubCounty 1355 (Machakos) but found 265 (Machakos Sub County).
