sourceGid,wardName,authoritativeCountyName,authoritativeSubcountyName,authoritativeScuid,authoritativeCountyId,authoritativeSubcountyId,databaseWardId,databaseWardName,databaseCountyId,databaseCountyName,databaseSubcountyId,databaseSubcountyName,status,resolutionType,notes
241,WABERA,ISIOLO,Isiolo Sub County,I2LYLqKU6AW,48,1310,1024,WABERA,48,Isiolo,1310,Isiolo,CORRECT,NORMALIZED,
1455,North Kamagambo Ward,Migori,Rongo Sub County,fT37q3rXQ35,49,1552,1025,North Kamagambo Ward,49,Migori,1552,Rongo,CORRECT,NORMALIZED,
1456,Central Kamagambo Ward,Migori,Rongo Sub County,fT37q3rXQ35,49,1552,1026,Central Kamagambo Ward,49,Migori,1552,Rongo,CORRECT,NORMALIZED,
1457,South Kamagambo Ward,Migori,Rongo Sub County,fT37q3rXQ35,49,1552,1027,South Kamagambo Ward,49,Migori,1552,Rongo,CORRECT,NORMALIZED,
1458,North Sakwa Ward,Migori,Awendo Sub County,ka9Uv3Ckcbd,49,1548,1028,North Sakwa Ward,49,Migori,1548,Awendo,CORRECT,NORMALIZED,
1459,South Sakwa Ward,Migori,Awendo Sub County,ka9Uv3Ckcbd,49,1548,1029,South Sakwa Ward,49,Migori,1548,Awendo,CORRECT,NORMALIZED,
1460,West Sakwa Ward,Migori,Awendo Sub County,ka9Uv3Ckcbd,49,1548,1030,West Sakwa Ward,49,Migori,1548,Awendo,CORRECT,NORMALIZED,
1461,Central Sakwa Ward,Migori,Awendo Sub County,ka9Uv3Ckcbd,49,1548,1031,Central Sakwa Ward,49,Migori,1548,Awendo,CORRECT,NORMALIZED,
1462,God Jope  Ward,Migori,Suna East Sub County,nHEr5EciFh0,49,1553,1032,God Jope  Ward,49,Migori,1553,Suna East,CORRECT,NORMALIZED,
1463,Suna Central Ward,Migori,Suna East Sub County,nHEr5EciFh0,49,1553,1033,Suna Central Ward,49,Migori,1553,Suna East,CORRECT,NORMALIZED,
1464,Kakrao Ward,Migori,Suna East Sub County,nHEr5EciFh0,49,1553,1034,Kakrao Ward,49,Migori,1553,Suna East,CORRECT,NORMALIZED,
1465,Kwa Ward,Migori,Suna East Sub County,nHEr5EciFh0,49,1553,1035,Kwa Ward,49,Migori,1553,Suna East,CORRECT,NORMALIZED,
1466,Wiga Ward,Migori,Suna West Sub County,VtuwXD7O1O9,49,1554,1036,Wiga Ward,49,Migori,1554,Suna West,CORRECT,NORMALIZED,
1467,Waseweta Ii Ward,Migori,Suna West Sub County,VtuwXD7O1O9,49,1554,1037,Waseweta Ii Ward,49,Migori,1554,Suna West,CORRECT,NORMALIZED,
