gid,wardId,wardName,countyName,authoritativeSubcountyName,authoritativeScuid,databaseSubCountyId,databaseSubCountyName,databaseCountyId,databaseCountyName,status,detail
241,1024,WABERA,ISIOLO,Isiolo Sub County,,1310,Isiolo,48,Isiolo,WRONG_SUBCOUNTY,Ward subCountyId does not match the authoritative canonical subcounty target.
1455,1025,North Kamagambo Ward,Migori,Rongo Sub County,,1552,Rongo,49,Migori,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1456,1026,Central Kamagambo Ward,Migori,Rongo Sub County,,1552,Rongo,49,Migori,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1457,1027,South Kamagambo Ward,Migori,Rongo Sub County,,1552,Rongo,49,Migori,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1458,1028,North Sakwa Ward,Migori,Awendo Sub County,,1548,Awendo,49,Migori,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1459,1029,South Sakwa Ward,Migori,Awendo Sub County,,1548,Awendo,49,Migori,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1460,1030,West Sakwa Ward,Migori,Awendo Sub County,,1548,Awendo,49,Migori,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1461,1031,Central Sakwa Ward,Migori,Awendo Sub County,,1548,Awendo,49,Migori,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1462,1032,God Jope  Ward,Migori,Suna East Sub County,,1553,Suna East,49,Migori,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1463,1033,Suna Central Ward,Migori,Suna East Sub County,,1553,Suna East,49,Migori,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1464,1034,Kakrao Ward,Migori,Suna East Sub County,,1553,Suna East,49,Migori,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1465,1035,Kwa Ward,Migori,Suna East Sub County,,1553,Suna East,49,Migori,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1466,1036,Wiga Ward,Migori,Suna West Sub County,,1554,Suna West,49,Migori,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1467,1037,Waseweta Ii Ward,Migori,Suna West Sub County,,1554,Suna West,49,Migori,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1468,1038,Ragana-oruba Ward,Migori,Suna West Sub County,,1554,Suna West,49,Migori,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1469,1039,Wasimbete Ward,Migori,Suna West Sub County,,1554,Suna West,49,Migori,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1470,1040,West Kanyamkago Ward,Migori,Uriri Sub County,,1555,Uriri,49,Migori,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1471,1041,North  Kanyamkago Ward,Migori,Uriri Sub County,,1555,Uriri,49,Migori,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1472,1042,Central Kanyamkago Ward,Migori,Uriri Sub County,,1555,Uriri,49,Migori,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1473,1043,South Kanyamkago Ward,Migori,Uriri Sub County,,1555,Uriri,49,Migori,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1474,1044,East Kanyamkago Ward,Migori,Uriri Sub County,,1555,Uriri,49,Migori,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1475,1045,Kachieng' Ward,Migori,Nyatike Sub County,,1551,Nyatike,49,Migori,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1486,1046,Masaba Ward,Migori,Kuria West Sub County,,1550,Kuria West,49,Migori,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1490,1047,Ntimaru West Ward,Migori,Kuria East Sub County,,1549,Kuria East,49,Migori,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1520,1048,Mathatani Ward,Machakos,Athi River Sub County,,1351,Athi River,50,Machakos,WRONG_SUBCOUNTY,Ward subCountyId does not match the authoritative canonical subcounty target.
1521,1049,Syokimau-mulolongo Ward,Machakos,Athi River Sub County,,1351,Athi River,50,Machakos,WRONG_SUBCOUNTY,Ward subCountyId does not match the authoritative canonical subcounty target.
1522,1050,Kalama Ward,Machakos,Machakos Sub County,,1355,Machakos,50,Machakos,WRONG_SUBCOUNTY,Ward subCountyId does not match the authoritative canonical subcounty target.
1523,1051,Mua Ward,Machakos,Machakos Sub County,,1355,Machakos,50,Machakos,WRONG_SUBCOUNTY,Ward subCountyId does not match the authoritative canonical subcounty target.
1524,1052,Mutituni Ward,Machakos,Machakos Sub County,,1355,Machakos,50,Machakos,WRONG_SUBCOUNTY,Ward subCountyId does not match the authoritative canonical subcounty target.
1525,1053,Township Ward,Machakos,Machakos Sub County,,1355,Machakos,50,Machakos,WRONG_SUBCOUNTY,Ward subCountyId does not match the authoritative canonical subcounty target.
1526,1054,Mumbuni North Ward,Machakos,Machakos Sub County,,1355,Machakos,50,Machakos,WRONG_SUBCOUNTY,Ward subCountyId does not match the authoritative canonical subcounty target.
1527,1055,Muvuti-kiima-kimwe Ward,Machakos,Machakos Sub County,,1355,Machakos,50,Machakos,WRONG_SUBCOUNTY,Ward subCountyId does not match the authoritative canonical subcounty target.
