county,sourceId,sourceName,targetId,targetName,wardCount,sourceGids,authoritativeSubCounties,authoritativeScuids,unresolvedWards,farmers,farms,businessPartners,sourceTransactions,destinationTransactions,targetWardCount,status,reason
Isiolo,255,Isiolo Sub County,,,5,241|242|245|246|247,Isiolo Sub County,I2LYLqKU6AW,0,0,0,0,0,0,,MANUAL_REVIEW,Multiple database SubCounties match authoritative name: 255 Isiolo Sub County; 1310 Isiolo
Machakos,264,Athi River Sub County,,,4,1520|1521|1518|1519,Athi River Sub County,BxfsSc6Svrc,0,0,0,0,0,0,,MANUAL_REVIEW,Multiple database SubCounties match authoritative name: 264 Athi River Sub County; 1351 Athi River
Machakos,265,Machakos Sub County,,,7,1522|1523|1524|1525|1526|1527|1528,Machakos Sub County,KXc4ez8OAFz,0,0,0,0,0,0,,MANUAL_REVIEW,Multiple database SubCounties match authoritative name: 265 Machakos Sub County; 1355 Machakos
Homa Bay,267,Kasipul Sub County,267,Kasipul Sub County,5,1535|1536|1537|1538|1539,Kasipul Sub County,NhsAMiaS0TD,0,0,0,0,0,0,5,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Homa Bay,268,Kabondo Kasipul Sub County,268,Kabondo Kasipul Sub County,4,1540|1541|1542|1543,Kabondo Kasipul Sub County,BzFBYZhF5fx,0,0,0,0,0,0,4,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Homa Bay,269,Karachuonyo Sub County,269,Karachuonyo Sub County,7,1544|1545|1546|1547|1548|1549|1550,Karachuonyo Sub County,fmsyW02tPng,0,0,0,0,0,0,7,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Homa Bay,271,Homa Bay Town Sub County,271,Homa Bay Town Sub County,4,1555|1556|1558|1557,Homa Bay Town Sub County,Ur2xRBDtazT,0,0,0,0,0,0,4,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Homa Bay,273,Mbita Sub County,273,Mbita Sub County,5,1566|1567|1568|1569|1570,Mbita Sub County,mCGytMcMf6y,0,0,0,0,0,0,5,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Bungoma,279,Cheptais Sub County,,,4,1600|1603|1601|1602,Cheptais Sub County,NZphHeczehh,0,0,0,0,0,0,,MANUAL_REVIEW,Multiple database SubCounties match authoritative name: 279 Cheptais Sub County; 1516 Cheptais
Bungoma,280,Mt Elgon Sub County,280,Mt Elgon Sub County,2,1604|1605,Mt Elgon Sub County,ZCYATXdLsL1,0,0,0,0,0,0,2,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Bungoma,281,Sirisia Sub County,281,Sirisia Sub County,3,1607|1608|1606,Sirisia Sub County,whWfFA9D7td,0,0,0,0,0,0,3,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Bungoma,282,Kabuchai Sub County,282,Kabuchai Sub County,4,1610|1612|1609|1611,Kabuchai Sub County,k1mze33jOs0,0,0,0,0,0,0,4,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Bungoma,284,Kanduyi Sub County,284,Kanduyi Sub County,8,1620|1621|1622|1623|1624|1625|1626|1627,Kanduyi Sub County,CUjthlounWV,0,0,0,0,0,0,8,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Kakamega,290,Malava Sub County,290,Malava Sub County,7,1656|1657|1658|1659|1660|1661|1662,Malava Sub County,ES1CWa4AJmJ,0,0,0,0,0,0,7,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Kakamega,291,Lurambi Sub County,291,Lurambi Sub County,6,1663|1664|1665|1666|1667|1668,Lurambi Sub County,Y3NjAhiBaZT,0,0,0,0,0,0,6,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Kericho,295,AINAMOI,,,7,961|944|945|946|947|948|949,AINAMOI|Ainamoi Sub County,GshNTMZJ5r1,0,0,0,0,0,0,,MANUAL_REVIEW,Source wards resolve to multiple authoritative SubCounties: AINAMOI; Ainamoi Sub County
Tana River,296,Galole Sub County,296,Galole Sub County,4,94|92|93|95,Galole Sub County,A4SNYCxrrnv,0,0,0,0,0,0,4,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Tana River,299,Bura Sub County,299,Bura Sub County,5,98|99|97|96|100,Bura Sub County,yWPcTwGwQ2B,0,0,0,0,0,0,5,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Taita Taveta,303,Wundanyi Sub County,303,Wundanyi Sub County,4,116|118|119|117,Wundanyi Sub County,AM36DdkZ36Y,0,0,0,0,0,0,4,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Homa Bay,310,Suba Sub County,310,Suba Sub County,4,1571|1572|1573|1574,Suba Sub County,HoRW5aISmiD,0,0,0,0,0,0,4,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Busia,323,Matayos Sub County,323,Matayos Sub County,5,1721|1723|1724|1725|1722,Matayos Sub County,tvkI2HSIRW9,0,0,0,0,0,0,5,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Mandera,325,MANDERA SOUTH,325,MANDERA SOUTH,5,207|208|210|206|209,MANDERA SOUTH,iGFdm333PJ2|qyhVIMG2rUw,0,0,0,0,0,0,5,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Marsabit,329,SAKU,329,SAKU,3,233|234|235,SAKU,WILszL634oZ,0,0,0,0,0,0,3,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Marsabit,330,LAISAMIS,330,LAISAMIS,5,240|236|237|238|239,LAISAMIS,eZpy65ooW0m,0,0,0,0,0,0,5,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Meru,337,Buuri Sub County,337,Buuri Sub County,5,281|282|283|284|289,Buuri Sub County,xN5aPo4ZOIt,0,0,0,0,0,0,5,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Meru,338,Imenti Central Sub County,338,Imenti Central Sub County,4,285|286|287|288,Imenti Central Sub County,OnNcTsJgfvL,0,0,0,0,0,0,4,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Tharaka Nithi,340,Muthambi Sub County,340,Muthambi Sub County,2,296|297,Muthambi Sub County,gLD3Q9fHpvy,0,0,0,0,0,0,2,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Tharaka Nithi,341,Mwimbi Sub County,341,Mwimbi Sub County,3,298|299|300,Mwimbi Sub County,wQ8XjZ7zVwL,0,0,0,0,0,0,3,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Nyandarua,342,Oljoroorok Sub County,342,Oljoroorok Sub County,4,461|458|459|460,Oljoroorok Sub County,fVSw60UAC3W,0,0,0,0,0,0,4,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Kitui,343,Mwingi North Sub County,343,Mwingi North Sub County,5,333|334|335|331|332,Mwingi North Sub County,KXM9VnhuLfP,0,0,0,0,0,0,5,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Kitui,344,Mwingi West Sub County,344,Mwingi West Sub County,4,336|337|338|339,Mwingi West Sub County,svwbDnzhgik,0,0,0,0,0,0,4,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Kitui,348,Kitui Rural Sub County,348,Kitui Rural Sub County,4,352|353|351|350,Kitui Rural Sub County,vbauk0RRq9N,0,0,0,0,0,0,4,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Kitui,354,Kitui East Sub County,354,Kitui East Sub County,6,360|359|362|363|364|361,Kitui East Sub County,d0Gu8FrRM0Y,0,0,0,0,0,0,6,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Bungoma,355,Webuye  East Sub County,355,Webuye  East Sub County,3,1628|1629|1630,Webuye  East Sub County,f4AOiG8fYtn,0,0,0,0,0,0,3,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Kitui,357,Kitui South Sub County,357,Kitui South Sub County,6,368|370|365|366|367|369,Kitui South Sub County,d3hSQ3EtnPk,0,0,0,0,0,0,6,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Makueni,358,Mbooni  Sub County,358,Mbooni  Sub County,6,411|412|413|414|415|416,Mbooni  Sub County,jxjGWCdfsib,0,0,0,0,0,0,6,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Makueni,359,Kilome Sub County,359,Kilome Sub County,3,417|418|419,Kilome Sub County,XAy1bjurhLU,0,0,0,0,0,0,3,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Makueni,360,Kaiti  Sub County,360,Kaiti  Sub County,4,420|421|422|423,Kaiti  Sub County,pKJ4NZGPzTA,0,0,0,0,0,0,4,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Makueni,362,Kibwezi West  Sub County,362,Kibwezi West  Sub County,6,431|432|433|434|435|436,Kibwezi West  Sub County,toa2Hl7iVQI,0,0,0,0,0,0,6,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Kakamega,369,Shinyalu Sub County,369,Shinyalu Sub County,6,1695|1696|1697|1698|1699|1700,Shinyalu Sub County,sjlSPeRgl7d,0,0,0,0,0,0,6,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Kakamega,370,Ikolomani Sub County,370,Ikolomani Sub County,4,1701|1702|1703|1704,Ikolomani Sub County,BE6HMtlHyl1,0,0,0,0,0,0,4,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Nyandarua,374,Olkalou Sub County,374,Olkalou Sub County,5,454|457|453|455|456,Olkalou Sub County,Lm9RMwhIu3G,0,0,0,0,0,0,5,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Nyeri,376,Mukurweini Sub County,376,Mukurweini Sub County,4,487|488|489|490,Mukurweini Sub County,zT8Zj5vNYCy,0,0,0,0,0,0,4,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Nyeri,377,Nyeri Central Sub County,,,5,491|492|493|494|495,Nyeri Central Sub County,GXnD5lHeanK,0,0,0,0,0,0,,MANUAL_REVIEW,Multiple database SubCounties match authoritative name: 377 Nyeri Central Sub County; 1383 Nyeri Central
Kirinyaga,378,Kirinyaga North/Mwea West Sub County,378,Kirinyaga North/Mwea West Sub County,4,496|497|498|499,Kirinyaga North/Mwea West Sub County,f6EOn3xI9YH,0,0,0,0,0,0,4,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Kirinyaga,379,Kirinyaga South Sub County,379,Kirinyaga South Sub County,4,500|501|502|503,Kirinyaga South Sub County,jHmpQUlnkQk,0,0,0,0,0,0,4,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Kirinyaga,380,Kirinyaga East Sub County,,,5,504|505|506|507|508,Kirinyaga East Sub County,yOaHQLOLd1H,0,0,0,0,0,0,,MANUAL_REVIEW,Multiple database SubCounties match authoritative name: 380 Kirinyaga East Sub County; 1385 Kirinyaga East
Murang'a,384,Kiharu Sub County,384,Kiharu Sub County,6,2099|2100|2101|2102|2103|2104,Kiharu Sub County,VDlzh6w4LKv,0,0,0,0,0,0,6,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Murang'a,393,Kandara Sub County,,,6,2116|2117|2118|2119|2120|2121,Kandara Sub County,gwYTo0wITYX,0,0,0,0,0,0,,MANUAL_REVIEW,Multiple database SubCounties match authoritative name: 393 Kandara Sub County; 1396 Kandara
Murang'a,394,Gatanga Sub County,,,6,2122|2123|2124|2125|2126|2127,Gatanga Sub County,Z7ALMtFNfeZ,0,0,0,0,0,0,,MANUAL_REVIEW,Multiple database SubCounties match authoritative name: 394 Gatanga Sub County; 1394 Gatanga
Nyandarua,395,Ndaragwa Sub County,395,Ndaragwa Sub County,4,462|463|464|465,Ndaragwa Sub County,EESGLsSLTqH,0,0,0,0,0,0,4,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Uasin Gishu,396,Soy Sub County,,,7,2128|2129|2130|2133|2134|2131|2132,Soy Sub County,lmr1q6dTaso,0,0,0,0,0,0,,MANUAL_REVIEW,Multiple database SubCounties match authoritative name: 396 Soy Sub County; 1434 Soy
Garissa,397,Ijara Sub County,,,2,160|159,Ijara Sub County,l5E6PiIUs1J,0,0,0,0,0,0,,MANUAL_REVIEW,Multiple database SubCounties match authoritative name: 397 Ijara Sub County; 1285 Ijara
Uasin Gishu,398,Turbo Sub County,,,6,2135|2136|2137|2138|2139|2140,Turbo Sub County,KuprsuBe1l0,0,0,0,0,0,0,,MANUAL_REVIEW,Multiple database SubCounties match authoritative name: 398 Turbo Sub County; 1435 Turbo
Kitui,399,Kitui West  Sub County,,,4,346|347|348|349,Kitui West  Sub County,cmWAJB5kCDW,0,0,0,0,0,0,,MANUAL_REVIEW,Multiple database SubCounties match authoritative name: 399 Kitui West  Sub County; 1337 Kitui West
Nyeri,400,Mathira East Sub County,,,4,482|479|480|478,Mathira East Sub County,vznKK4IegIL,0,0,0,0,0,0,,MANUAL_REVIEW,Multiple database SubCounties match authoritative name: 400 Mathira East Sub County; 1379 Mathira East
Makueni,401,Kibwezi East  Sub County,401,Kibwezi East  Sub County,4,437|438|439|440,Kibwezi East  Sub County,ZhhyithPNoI,0,0,0,0,0,0,4,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Nyandarua,402,Kinangop Sub County,,,8,441|442|443|444|445|446|447|448,Kinangop Sub County,RAnL5kBKMIt,0,0,0,0,0,0,,MANUAL_REVIEW,Multiple database SubCounties match authoritative name: 402 Kinangop Sub County; 1369 Kinangop
Kirinyaga,403,Kirinyaga Central Sub County,,,4,512|513|514|515,Kirinyaga Central Sub County,JKNaaTjVapG,0,0,0,0,0,0,,MANUAL_REVIEW,Multiple database SubCounties match authoritative name: 403 Kirinyaga Central Sub County; 1384 Kirinyaga Central
Turkana,404,Turkana Central Sub County,,,5,624|625|626|627|628,Turkana Central Sub County,zd8rhYqGowE,0,0,0,0,0,0,,MANUAL_REVIEW,Multiple database SubCounties match authoritative name: 404 Turkana Central Sub County; 1412 Turkana Central
Nairobi City,405,Ruaraka  Sub County,405,Ruaraka  Sub County,5,2044|2045|2046|2042|2043,Ruaraka  Sub County,Cc8uEFkzfVf,0,0,0,0,0,0,5,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Busia,406,Bunyala Sub County,,,4,1736|1737|1738|1739,Bunyala Sub County,zI6vnsXresW,0,0,0,0,0,0,,MANUAL_REVIEW,Multiple database SubCounties match authoritative name: 406 Bunyala Sub County; 1522 Bunyala
Nairobi City,407,Embakasi South Sub County,407,Embakasi South Sub County,5,2047|2050|2048|2049|2051,Embakasi South Sub County,aDp1odOWYC1,0,0,0,0,0,0,5,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Uasin Gishu,408,Moiben Sub County,,,5,2141|2142|2143|2144|2145,Moiben Sub County,q8R0FA1hxnP,0,0,0,0,0,0,,MANUAL_REVIEW,Multiple database SubCounties match authoritative name: 408 Moiben Sub County; 1433 Moiben
Uasin Gishu,409,Ainabkoi Sub County,,,3,2146|2147|2148,Ainabkoi Sub County,mYlMs4xTj82,0,0,0,0,0,0,,MANUAL_REVIEW,Multiple database SubCounties match authoritative name: 409 Ainabkoi Sub County; 1430 Ainabkoi
Uasin Gishu,410,Kapseret Sub County,,,5,2149|2150|2152|2151|2153,Kapseret Sub County,u9yagZzK49q,0,0,0,0,0,0,,MANUAL_REVIEW,Multiple database SubCounties match authoritative name: 410 Kapseret Sub County; 1431 Kapseret
Narok,411,Transmara West Sub County,411,Transmara West Sub County,6,2158|2159|2160|2161|2162|2163,Transmara West Sub County,Nb6e34jNGAq,0,0,0,0,0,0,6,ALREADY_CANONICAL,Authoritative identity resolves to the current SubCounty.
Nakuru,412,Gilgil Sub County,,,5,1758|1759|1760|1761|1762,Gilgil Sub County,hBU8B1KI12P,0,0,0,0,0,0,,MANUAL_REVIEW,Multiple database SubCounties match authoritative name: 412 Gilgil Sub County; 1459 Gilgil
Turkana,413,Loima Sub County,,,4,630|632|629|631,Loima Sub County,OZiGQn2R8kK,0,0,0,0,0,0,,MANUAL_REVIEW,Multiple database SubCounties match authoritative name: 413 Loima Sub County; 1411 Loima
