county,countyId,sourceId,sourceName,targetId,targetName,wardCount,wardIds,sourceGids,authoritativeScuids,authoritativeSubCounties,unresolvedWards,farmers,farms,businessPartners,sourceTransactions,destinationTransactions,targetWardCount,status,reason
Isiolo,48,255,Isiolo Sub County,,,5,1024|2089|2092|2093|2094,241|242|245|246|247,I2LYLqKU6AW,Isiolo Sub County,0,0,0,0,0,0,,MANUAL_REVIEW,No canonical record in subcounties.json matches the authoritative ward identity.
Machakos,50,264,Athi River Sub County,,,4,1048|1049|1219|1220,1520|1521|1518|1519,BxfsSc6Svrc,Athi River Sub County,0,0,0,0,0,0,,MANUAL_REVIEW,No canonical record in subcounties.json matches the authoritative ward identity.
Machakos,50,265,Machakos Sub County,,,7,1050|1051|1052|1053|1054|1055|1056,1522|1523|1524|1525|1526|1527|1528,KXc4ez8OAFz,Machakos Sub County,0,0,0,0,0,0,,MANUAL_REVIEW,No canonical record in subcounties.json matches the authoritative ward identity.
Homa Bay,51,267,Kasipul Sub County,,,5,1063|1064|1065|1066|1067,1535|1536|1537|1538|1539,NhsAMiaS0TD,Kasipul Sub County,0,0,0,0,0,0,,MANUAL_REVIEW,No canonical record in subcounties.json matches the authoritative ward identity.
Homa Bay,51,268,Kabondo Kasipul Sub County,,,4,1068|1069|1070|1071,1540|1541|1542|1543,BzFBYZhF5fx,Kabondo Kasipul Sub County,0,0,0,0,0,0,,MANUAL_REVIEW,No canonical record in subcounties.json matches the authoritative ward identity.
Homa Bay,51,269,Karachuonyo Sub County,,,7,1072|1073|1074|1075|1221|1222|1223,1544|1545|1546|1547|1548|1549|1550,fmsyW02tPng,Karachuonyo Sub County,0,0,0,0,0,0,,MANUAL_REVIEW,No canonical record in subcounties.json matches the authoritative ward identity.
Homa Bay,51,271,Homa Bay Town Sub County,,,4,1078|1079|1080|1226,1555|1556|1558|1557,Ur2xRBDtazT,Homa Bay Town Sub County,0,0,0,0,0,0,,MANUAL_REVIEW,No canonical record in subcounties.json matches the authoritative ward identity.
Homa Bay,51,273,Mbita Sub County,,,5,1087|1088|1089|1229|1230,1566|1567|1568|1569|1570,mCGytMcMf6y,Mbita Sub County,0,0,0,0,0,0,,MANUAL_REVIEW,No canonical record in subcounties.json matches the authoritative ward identity.
Bungoma,53,279,Cheptais Sub County,,,4,1102|1103|1273|1274,1600|1603|1601|1602,NZphHeczehh,Cheptais Sub County,0,0,0,0,0,0,,MANUAL_REVIEW,No canonical record in subcounties.json matches the authoritative ward identity.
Bungoma,53,280,Mt Elgon Sub County,,,2,1104|1275,1604|1605,ZCYATXdLsL1,Mt Elgon Sub County,0,0,0,0,0,0,,MANUAL_REVIEW,No canonical record in subcounties.json matches the authoritative ward identity.
Bungoma,53,281,Sirisia Sub County,,,3,1105|1106|1347,1607|1608|1606,whWfFA9D7td,Sirisia Sub County,0,0,0,0,0,0,,MANUAL_REVIEW,No canonical record in subcounties.json matches the authoritative ward identity.
Bungoma,53,282,Kabuchai Sub County,,,4,1107|1108|1349|1350,1610|1612|1609|1611,k1mze33jOs0,Kabuchai Sub County,0,0,0,0,0,0,,MANUAL_REVIEW,No canonical record in subcounties.json matches the authoritative ward identity.
Bungoma,53,284,Kanduyi Sub County,,,8,1112|1113|1386|1387|1388|1389|1390|1391,1620|1621|1622|1623|1624|1625|1626|1627,CUjthlounWV,Kanduyi Sub County,0,0,0,0,0,0,,MANUAL_REVIEW,No canonical record in subcounties.json matches the authoritative ward identity.
Kakamega,54,290,Malava Sub County,,,7,1136|1137|1138|1139|1140|1141|1142,1656|1657|1658|1659|1660|1661|1662,ES1CWa4AJmJ,Malava Sub County,0,0,0,0,0,0,,MANUAL_REVIEW,No canonical record in subcounties.json matches the authoritative ward identity.
Kakamega,54,291,Lurambi Sub County,,,6,1143|1144|1145|1146|1147|1148,1663|1664|1665|1666|1667|1668,Y3NjAhiBaZT,Lurambi Sub County,0,0,0,0,0,0,,MANUAL_REVIEW,No canonical record in subcounties.json matches the authoritative ward identity.
Kericho,56,295,AINAMOI,,,7,1156|1875|1876|1877|1878|1879|1880,961|944|945|946|947|948|949,GshNTMZJ5r1,AINAMOI|Ainamoi Sub County,0,0,0,0,0,0,,MANUAL_REVIEW,Source wards resolve to multiple authoritative SubCounty names: AINAMOI; Ainamoi Sub County
Tana River,57,296,Galole Sub County,,,4,1157|1158|1263|1401,94|92|93|95,A4SNYCxrrnv,Galole Sub County,0,0,0,0,0,0,,MANUAL_REVIEW,No canonical record in subcounties.json matches the authoritative ward identity.
Tana River,57,299,Bura Sub County,,,5,1175|1176|1398|1486|1490,98|99|97|96|100,yWPcTwGwQ2B,Bura Sub County,0,0,0,0,0,0,,MANUAL_REVIEW,No canonical record in subcounties.json matches the authoritative ward identity.
Taita Taveta,59,303,Wundanyi Sub County,,,4,1188|1189|1807|1853,116|118|119|117,AM36DdkZ36Y,Wundanyi Sub County,0,0,0,0,0,0,,MANUAL_REVIEW,No canonical record in subcounties.json matches the authoritative ward identity.
Homa Bay,51,310,Suba Sub County,,,4,1231|1232|1233|1244,1571|1572|1573|1574,HoRW5aISmiD,Suba Sub County,0,0,0,0,0,0,,MANUAL_REVIEW,No canonical record in subcounties.json matches the authoritative ward identity.
Busia,62,323,Matayos Sub County,,,5,1281|1295|1296|1297|1491,1721|1723|1724|1725|1722,tvkI2HSIRW9,Matayos Sub County,0,0,0,0,0,0,,MANUAL_REVIEW,No canonical record in subcounties.json matches the authoritative ward identity.
Mandera,63,325,MANDERA SOUTH,,,5,1284|1285|1286|1484|2358,207|208|210|206|209,iGFdm333PJ2|qyhVIMG2rUw,MANDERA SOUTH,0,0,0,0,0,0,,MANUAL_REVIEW,"Source wards contain multiple authoritative SCUIDs: iGFdm333PJ2, qyhVIMG2rUw"
Marsabit,64,329,SAKU,,,3,1294|1487|1488,233|234|235,WILszL634oZ,SAKU,0,0,0,0,0,0,,MANUAL_REVIEW,No canonical record in subcounties.json matches the authoritative ward identity.
Marsabit,64,330,LAISAMIS,,,5,1298|1489|2361|2362|2364,240|236|237|238|239,eZpy65ooW0m,LAISAMIS,0,0,0,0,0,0,,MANUAL_REVIEW,No canonical record in subcounties.json matches the authoritative ward identity.
Meru,65,337,Buuri Sub County,,,5,1329|1330|1331|1332|1337,281|282|283|284|289,xN5aPo4ZOIt,Buuri Sub County,0,0,0,0,0,0,,MANUAL_REVIEW,No canonical record in subcounties.json matches the authoritative ward identity.
Meru,65,338,Imenti Central Sub County,,,4,1333|1334|1335|1336,285|286|287|288,OnNcTsJgfvL,Imenti Central Sub County,0,0,0,0,0,0,,MANUAL_REVIEW,No canonical record in subcounties.json matches the authoritative ward identity.
Tharaka Nithi,66,340,Muthambi Sub County,,,2,1344|1345,296|297,gLD3Q9fHpvy,Muthambi Sub County,0,0,0,0,0,0,,MANUAL_REVIEW,No canonical record in subcounties.json matches the authoritative ward identity.
Tharaka Nithi,66,341,Mwimbi Sub County,,,3,1346|2372|2373,298|299|300,wQ8XjZ7zVwL,Mwimbi Sub County,0,0,0,0,0,0,,MANUAL_REVIEW,No canonical record in subcounties.json matches the authoritative ward identity.
Nyandarua,67,342,Oljoroorok Sub County,,,4,1348|2400|2401|2402,461|458|459|460,fVSw60UAC3W,Oljoroorok Sub County,0,0,0,0,0,0,,MANUAL_REVIEW,No canonical record in subcounties.json matches the authoritative ward identity.
Kitui,68,343,Mwingi North Sub County,,,5,1351|1352|1353|2321|2322,333|334|335|331|332,KXM9VnhuLfP,Mwingi North Sub County,0,0,0,0,0,0,,MANUAL_REVIEW,No canonical record in subcounties.json matches the authoritative ward identity.
Kitui,68,344,Mwingi West Sub County,,,4,1354|1355|1356|1357,336|337|338|339,svwbDnzhgik,Mwingi West Sub County,0,0,0,0,0,0,,MANUAL_REVIEW,No canonical record in subcounties.json matches the authoritative ward identity.
Kitui,68,348,Kitui Rural Sub County,,,4,1367|1368|1475|2386,352|353|351|350,vbauk0RRq9N,Kitui Rural Sub County,0,0,0,0,0,0,,MANUAL_REVIEW,No canonical record in subcounties.json matches the authoritative ward identity.
Kitui,68,354,Kitui East Sub County,,,6,1384|1478|1594|1595|1596|2389,360|359|362|363|364|361,d0Gu8FrRM0Y,Kitui East Sub County,0,0,0,0,0,0,,MANUAL_REVIEW,No canonical record in subcounties.json matches the authoritative ward identity.
