currentId,currentName,countyId,countyName,wardCount,wardIds,sourceGids,canonicalSourceCode,canonicalSourceName,canonicalPrismaId,canonicalPrismaName,status,reason
255,Isiolo Sub County,48,Isiolo,5,1024|2089|2092|2093|2094,241|242|245|246|247,1102,Isiolo,1310,Isiolo,SAFE_CANDIDATE,Non-canonical SubCounty has wards and maps uniquely to an existing canonical target; review ward ownership before repair.
264,Athi River Sub County,50,Machakos,4,1048|1049|1219|1220,1520|1521|1518|1519,1601,Athi River,1351,Athi River,SAFE_CANDIDATE,Non-canonical SubCounty has wards and maps uniquely to an existing canonical target; review ward ownership before repair.
265,Machakos Sub County,50,Machakos,7,1050|1051|1052|1053|1054|1055|1056,1522|1523|1524|1525|1526|1527|1528,1605,Machakos,1355,Machakos,SAFE_CANDIDATE,Non-canonical SubCounty has wards and maps uniquely to an existing canonical target; review ward ownership before repair.
267,Kasipul Sub County,51,Homa Bay,5,1063|1064|1065|1066|1067,1535|1536|1537|1538|1539,,,,,MANUAL_REVIEW,No unique canonical source record could be matched.
268,Kabondo Kasipul Sub County,51,Homa Bay,4,1068|1069|1070|1071,1540|1541|1542|1543,,,,,MANUAL_REVIEW,No unique canonical source record could be matched.
269,Karachuonyo Sub County,51,Homa Bay,7,1072|1073|1074|1075|1221|1222|1223,1544|1545|1546|1547|1548|1549|1550,,,,,MANUAL_REVIEW,No unique canonical source record could be matched.
271,Homa Bay Town Sub County,51,Homa Bay,4,1078|1079|1080|1226,1555|1556|1558|1557,,,,,MANUAL_REVIEW,No unique canonical source record could be matched.
273,Mbita Sub County,51,Homa Bay,5,1087|1088|1089|1229|1230,1566|1567|1568|1569|1570,,,,,MANUAL_REVIEW,No unique canonical source record could be matched.
279,Cheptais Sub County,53,Bungoma,4,1102|1103|1273|1274,1600|1603|1601|1602,3906,Cheptais,1516,Cheptais,SAFE_CANDIDATE,Non-canonical SubCounty has wards and maps uniquely to an existing canonical target; review ward ownership before repair.
280,Mt Elgon Sub County,53,Bungoma,2,1104|1275,1604|1605,,,,,MANUAL_REVIEW,No unique canonical source record could be matched.
281,Sirisia Sub County,53,Bungoma,3,1105|1106|1347,1607|1608|1606,,,,,MANUAL_REVIEW,No unique canonical source record could be matched.
282,Kabuchai Sub County,53,Bungoma,4,1107|1108|1349|1350,1610|1612|1609|1611,,,,,MANUAL_REVIEW,No unique canonical source record could be matched.
284,Kanduyi Sub County,53,Bungoma,8,1112|1113|1386|1387|1388|1389|1390|1391,1620|1621|1622|1623|1624|1625|1626|1627,,,,,MANUAL_REVIEW,No unique canonical source record could be matched.
290,Malava Sub County,54,Kakamega,7,1136|1137|1138|1139|1140|1141|1142,1656|1657|1658|1659|1660|1661|1662,,,,,MANUAL_REVIEW,No unique canonical source record could be matched.
291,Lurambi Sub County,54,Kakamega,6,1143|1144|1145|1146|1147|1148,1663|1664|1665|1666|1667|1668,,,,,MANUAL_REVIEW,No unique canonical source record could be matched.
295,AINAMOI,56,Kericho,7,1156|1875|1876|1877|1878|1879|1880,961|944|945|946|947|948|949,,,,,MANUAL_REVIEW,Protected record requiring manual review.
296,Galole Sub County,57,Tana River,4,1157|1158|1263|1401,94|92|93|95,,,,,MANUAL_REVIEW,No unique canonical source record could be matched.
299,Bura Sub County,57,Tana River,5,1175|1176|1398|1486|1490,98|99|97|96|100,,,,,MANUAL_REVIEW,No unique canonical source record could be matched.
303,Wundanyi Sub County,59,Taita Taveta,4,1188|1189|1807|1853,116|118|119|117,,,,,MANUAL_REVIEW,No unique canonical source record could be matched.
310,Suba Sub County,51,Homa Bay,4,1231|1232|1233|1244,1571|1572|1573|1574,,,,,MANUAL_REVIEW,No unique canonical source record could be matched.
323,Matayos Sub County,62,Busia,5,1281|1295|1296|1297|1491,1721|1723|1724|1725|1722,,,,,MANUAL_REVIEW,No unique canonical source record could be matched.
325,MANDERA SOUTH,63,Mandera,5,1284|1285|1286|1484|2358,207|208|210|206|209,,,,,MANUAL_REVIEW,No unique canonical source record could be matched.
329,SAKU,64,Marsabit,3,1294|1487|1488,233|234|235,,,,,MANUAL_REVIEW,No unique canonical source record could be matched.
330,LAISAMIS,64,Marsabit,5,1298|1489|2361|2362|2364,240|236|237|238|239,,,,,MANUAL_REVIEW,No unique canonical source record could be matched.
337,Buuri Sub County,65,Meru,5,1329|1330|1331|1332|1337,281|282|283|284|289,,,,,MANUAL_REVIEW,No unique canonical source record could be matched.
