"county","sourceId","sourceName","targetId","targetName","wards","farmers","farms","businessPartners","destinationTransactions","sourceTransactions","classification","reason","wardIds","wardNames"
"Isiolo","255","Isiolo Sub County","","","5","0","0","0","0","0","MANUAL_REVIEW","Unresolved ward targets: 5","1024|2089|2092|2093|2094","WABERA|BULA PESA|NGARE MARA|BURAT|OLDONYIRO"
"Migori","256","Rongo Sub County","","","4","0","0","0","0","0","MANUAL_REVIEW","Unresolved ward targets: 4","1025|1026|1027|1195","North Kamagambo Ward|Central Kamagambo Ward|South Kamagambo Ward|East Kamagambo Ward"
"Migori","257","Awendo Sub County","","","4","0","0","0","0","0","MANUAL_REVIEW","Unresolved ward targets: 4","1028|1029|1030|1031","North Sakwa Ward|South Sakwa Ward|West Sakwa Ward|Central Sakwa Ward"
"Migori","258","Suna East Sub County","","","4","0","0","0","0","0","MANUAL_REVIEW","Unresolved ward targets: 4","1032|1033|1034|1035","God Jope  Ward|Suna Central Ward|Kakrao Ward|Kwa Ward"
"Migori","259","Suna West Sub County","","","4","0","0","0","0","0","MANUAL_REVIEW","Unresolved ward targets: 4","1036|1037|1038|1039","Wiga Ward|Waseweta Ii Ward|Ragana-oruba Ward|Wasimbete Ward"
"Migori","260","Uriri Sub County","","","5","0","0","0","0","0","MANUAL_REVIEW","Unresolved ward targets: 5","1040|1041|1042|1043|1044","West Kanyamkago Ward|North  Kanyamkago Ward|Central Kanyamkago Ward|South Kanyamkago Ward|East Kanyamkago Ward"
"Migori","261","Nyatike Sub County","","","7","0","0","0","0","0","MANUAL_REVIEW","Unresolved ward targets: 7","1045|1159|1160|1161|1162|1163|1164","Kachieng' Ward|Kanyasa Ward|North Kadem Ward|Macalder/kanyarwanda Ward|Kaler Ward|Got Kachola Ward|Muhuru Ward"
"Migori","262","Kuria West Sub County","","","7","0","0","0","0","0","MANUAL_REVIEW","Unresolved ward targets: 7","1046|1165|1166|1167|1185|1187|1190","Masaba Ward|Bukira East Ward|Bukira Central/ikerege Ward|Isibania Ward|Mokerero Ward|Tagare Ward|Nyamosense/komosoko Ward"
"Migori","263","Kuria East Sub County","","","5","0","0","0","0","0","MANUAL_REVIEW","Unresolved ward targets: 5","1047|1191|1192|1193|1194","Ntimaru West Ward|Gokeharaka/getambwega Ward|Ntimaru East Ward|Nyabasi East Ward|Nyabasi West Ward"
"Machakos","264","Athi River Sub County","","","4","0","0","0","0","0","MANUAL_REVIEW","Unresolved ward targets: 4","1048|1049|1219|1220","Mathatani Ward|Syokimau-mulolongo Ward|Athi River Ward|Kinanie Ward"
