authoritativeCounty,authoritativeSubCounty,countyId,countyName,canonicalFound,canonicalCode,canonicalCountyCode,canonicalName,canonicalHeadquarters,selectedCandidateId,selectedCandidateName,resolutionStatus,resolutionReason,geoJsonWardCount,geoJsonGids,prismaCandidates
Bungoma,Kabuchai Sub County,53,Bungoma,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,4,1609;1610;1611;1612,282:Kabuchai Sub County
Bungoma,Kanduyi Sub County,53,Bungoma,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,8,1620;1621;1622;1623;1624;1625;1626;1627,284:Kanduyi Sub County
Bungoma,Mt Elgon Sub County,53,Bungoma,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,2,1604;1605,280:Mt Elgon Sub County
Bungoma,Sirisia Sub County,53,Bungoma,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,3,1606;1607;1608,281:Sirisia Sub County
Bungoma,Webuye  East Sub County,53,Bungoma,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,3,1628;1629;1630,355:Webuye  East Sub County
Busia,Matayos Sub County,62,Busia,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,5,1721;1722;1723;1724;1725,323:Matayos Sub County
EMBU,Manyatta  Sub County,89,Embu,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,7,311;312;313;314;315;316;317,542:Manyatta  Sub County
EMBU,Runyenjes  Sub County,89,Embu,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,5,318;319;320;321;322,543:Runyenjes  Sub County
Homa Bay,Homa Bay Town Sub County,51,Homa Bay,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,4,1555;1556;1557;1558,271:Homa Bay Town Sub County
Homa Bay,Kabondo Kasipul Sub County,51,Homa Bay,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,4,1540;1541;1542;1543,268:Kabondo Kasipul Sub County
Homa Bay,Karachuonyo Sub County,51,Homa Bay,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,7,1544;1545;1546;1547;1548;1549;1550,269:Karachuonyo Sub County
Homa Bay,Kasipul Sub County,51,Homa Bay,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,5,1535;1536;1537;1538;1539,267:Kasipul Sub County
Homa Bay,Mbita Sub County,51,Homa Bay,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,5,1566;1567;1568;1569;1570,273:Mbita Sub County
Homa Bay,Suba Sub County,51,Homa Bay,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,4,1571;1572;1573;1574,310:Suba Sub County
KAJIADO,Kajiado East Sub County,92,Kajiado,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,5,921;922;923;924;925,469:Kajiado East Sub County
Kakamega,Ikolomani Sub County,54,Kakamega,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,4,1701;1702;1703;1704,370:Ikolomani Sub County
Kakamega,Lurambi Sub County,54,Kakamega,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,6,1663;1664;1665;1666;1667;1668,291:Lurambi Sub County
Kakamega,Malava Sub County,54,Kakamega,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,7,1656;1657;1658;1659;1660;1661;1662,290:Malava Sub County
Kakamega,Shinyalu Sub County,54,Kakamega,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,6,1695;1696;1697;1698;1699;1700,369:Shinyalu Sub County
KERICHO,AINAMOI,56,Kericho,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,7,944;945;946;947;948;949;961,295:AINAMOI
KERICHO,Kipkelion East Sub County,56,Kericho,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,4,936;937;938;939,491:Kipkelion East Sub County
KERICHO,Kipkelion West Sub County,56,Kericho,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,4,940;941;942;943,472:Kipkelion West Sub County
