wardId,wardName,sourceGid,sourceUid,currentSubCountyId,currentSubCountyName,currentCountyId,currentCountyName,authoritativeGid,authoritativeUid,authoritativeSubCountyName,authoritativeCountyName,canonicalSourceName,canonicalCountyCode,canonicalDbId,canonicalDbName,reason
1063,West Kasipul Ward,1535,tn1vEO9VD83,267,Kasipul Sub County,51,Homa Bay,1535,tn1vEO9VD83,Kasipul Sub County,Homa Bay,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1064,South Kasipul Ward,1536,xiP5RKdvPTn,267,Kasipul Sub County,51,Homa Bay,1536,xiP5RKdvPTn,Kasipul Sub County,Homa Bay,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1065,Central Kasipul Ward,1537,UQYZGlkULva,267,Kasipul Sub County,51,Homa Bay,1537,UQYZGlkULva,Kasipul Sub County,Homa Bay,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1066,East Kamagak Ward,1538,RvsMMMCame7,267,Kasipul Sub County,51,Homa Bay,1538,RvsMMMCame7,Kasipul Sub County,Homa Bay,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1067,West Kamagak Ward,1539,pPN9DI12g5m,267,Kasipul Sub County,51,Homa Bay,1539,pPN9DI12g5m,Kasipul Sub County,Homa Bay,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1068,Kabondo East Ward,1540,nYfCFgklbTM,268,Kabondo Kasipul Sub County,51,Homa Bay,1540,nYfCFgklbTM,Kabondo Kasipul Sub County,Homa Bay,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1069,Kabondo West Ward,1541,zkOTNmaTloy,268,Kabondo Kasipul Sub County,51,Homa Bay,1541,zkOTNmaTloy,Kabondo Kasipul Sub County,Homa Bay,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1070,Kokwanyo/kakelo Ward,1542,dPxooReTfTv,268,Kabondo Kasipul Sub County,51,Homa Bay,1542,dPxooReTfTv,Kabondo Kasipul Sub County,Homa Bay,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1071,Kojwach Ward,1543,FdJzxSJbjk3,268,Kabondo Kasipul Sub County,51,Homa Bay,1543,FdJzxSJbjk3,Kabondo Kasipul Sub County,Homa Bay,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1072,West Karachuonyo Ward,1544,DbwgMpyBfwd,269,Karachuonyo Sub County,51,Homa Bay,1544,DbwgMpyBfwd,Karachuonyo Sub County,Homa Bay,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1073,North Karachuonyo Ward,1545,bR7hQLC29rl,269,Karachuonyo Sub County,51,Homa Bay,1545,bR7hQLC29rl,Karachuonyo Sub County,Homa Bay,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1074,Central Ward,1546,TzCE8I4W14b,269,Karachuonyo Sub County,51,Homa Bay,1546,TzCE8I4W14b,Karachuonyo Sub County,Homa Bay,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1075,Kanyaluo Ward,1547,LX2KPfCBef4,269,Karachuonyo Sub County,51,Homa Bay,1547,LX2KPfCBef4,Karachuonyo Sub County,Homa Bay,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1078,Homa Bay Central Ward,1555,zOOEW5td56i,271,Homa Bay Town Sub County,51,Homa Bay,1555,zOOEW5td56i,Homa Bay Town Sub County,Homa Bay,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1079,Homa Bay Arujo Ward,1556,OOiImc9uz5A,271,Homa Bay Town Sub County,51,Homa Bay,1556,OOiImc9uz5A,Homa Bay Town Sub County,Homa Bay,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1080,Homa Bay East Ward,1558,C5EivIShRVo,271,Homa Bay Town Sub County,51,Homa Bay,1558,C5EivIShRVo,Homa Bay Town Sub County,Homa Bay,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1087,Mfangano Island Ward,1566,SyS2T2z6JDZ,273,Mbita Sub County,51,Homa Bay,1566,SyS2T2z6JDZ,Mbita Sub County,Homa Bay,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1088,Rusinga Island Ward,1567,OjYMSbDEKRc,273,Mbita Sub County,51,Homa Bay,1567,OjYMSbDEKRc,Mbita Sub County,Homa Bay,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1089,Kasgunga Ward,1568,eX9fqY9KVU8,273,Mbita Sub County,51,Homa Bay,1568,eX9fqY9KVU8,Mbita Sub County,Homa Bay,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1104,Kaptama Ward,1604,X2TaEHQHj6z,280,Mt Elgon Sub County,53,Bungoma,1604,X2TaEHQHj6z,Mt Elgon Sub County,Bungoma,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1105,Malakisi/south Kulisiru Ward,1607,ftbk97ko25V,281,Sirisia Sub County,53,Bungoma,1607,ftbk97ko25V,Sirisia Sub County,Bungoma,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1106,Lwandanyi Ward,1608,nNiOxPPdyhk,281,Sirisia Sub County,53,Bungoma,1608,nNiOxPPdyhk,Sirisia Sub County,Bungoma,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1107,West Nalondo Ward,1610,gZqLcfKb6LQ,282,Kabuchai Sub County,53,Bungoma,1610,gZqLcfKb6LQ,Kabuchai Sub County,Bungoma,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1108,Mukuyuni Ward,1612,IVA8tzQOkNT,282,Kabuchai Sub County,53,Bungoma,1612,IVA8tzQOkNT,Kabuchai Sub County,Bungoma,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1112,Bukembe West Ward,1620,r6SlF5OJDxM,284,Kanduyi Sub County,53,Bungoma,1620,r6SlF5OJDxM,Kanduyi Sub County,Bungoma,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1113,Bukembe East Ward,1621,gsSTglpX3Wd,284,Kanduyi Sub County,53,Bungoma,1621,gsSTglpX3Wd,Kanduyi Sub County,Bungoma,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1136,West Kabras Ward,1656,vwGFBoFGIlm,290,Malava Sub County,54,Kakamega,1656,vwGFBoFGIlm,Malava Sub County,Kakamega,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1137,Chemuche Ward,1657,GCZB9Qc6zCO,290,Malava Sub County,54,Kakamega,1657,GCZB9Qc6zCO,Malava Sub County,Kakamega,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1138,East Kabras Ward,1658,lZT0FbLOn0I,290,Malava Sub County,54,Kakamega,1658,lZT0FbLOn0I,Malava Sub County,Kakamega,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1139,Butali Chegulo Ward,1659,WlgJjiJVyHY,290,Malava Sub County,54,Kakamega,1659,WlgJjiJVyHY,Malava Sub County,Kakamega,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1140,Manda-shivanga Ward,1660,oQbUJJHfsbX,290,Malava Sub County,54,Kakamega,1660,oQbUJJHfsbX,Malava Sub County,Kakamega,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1141,Shirungu-mugai Ward,1661,pCenQt4VPGz,290,Malava Sub County,54,Kakamega,1661,pCenQt4VPGz,Malava Sub County,Kakamega,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1142,South Kabras Ward,1662,klgKsqqI93s,290,Malava Sub County,54,Kakamega,1662,klgKsqqI93s,Malava Sub County,Kakamega,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1143,Butsotso East Ward,1663,dFH6aZXT2rd,291,Lurambi Sub County,54,Kakamega,1663,dFH6aZXT2rd,Lurambi Sub County,Kakamega,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1144,Butsotso South  Ward,1664,t8eg6hgrHEp,291,Lurambi Sub County,54,Kakamega,1664,t8eg6hgrHEp,Lurambi Sub County,Kakamega,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1145,Butsotso Central Ward,1665,IgadIOg14CX,291,Lurambi Sub County,54,Kakamega,1665,IgadIOg14CX,Lurambi Sub County,Kakamega,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1146,Sheywe Ward,1666,QVwBQhJwtOG,291,Lurambi Sub County,54,Kakamega,1666,QVwBQhJwtOG,Lurambi Sub County,Kakamega,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1147,Mahiakalo Ward,1667,OikFajghArn,291,Lurambi Sub County,54,Kakamega,1667,OikFajghArn,Lurambi Sub County,Kakamega,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1148,Shirere Ward,1668,yKF1kdNdLqM,291,Lurambi Sub County,54,Kakamega,1668,yKF1kdNdLqM,Lurambi Sub County,Kakamega,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1156,BELGUT,961,,295,AINAMOI,56,Kericho,961,,AINAMOI,KERICHO,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1157,Chewani Ward,94,Fuc7wSQ4gkN,296,Galole Sub County,57,Tana River,94,Fuc7wSQ4gkN,Galole Sub County,TANA RIVER,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1158,Kinakomba Ward,92,JRAYgvhoUEp,296,Galole Sub County,57,Tana River,92,JRAYgvhoUEp,Galole Sub County,TANA RIVER,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1175,Bangale Ward,98,SCxU4funihr,299,Bura Sub County,57,Tana River,98,SCxU4funihr,Bura Sub County,TANA RIVER,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1176,Sala Ward,99,tc9MpZMV6yJ,299,Bura Sub County,57,Tana River,99,tc9MpZMV6yJ,Bura Sub County,TANA RIVER,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1188,Wundanyi/mbale Ward,116,mkbKajFxEDT,303,Wundanyi Sub County,59,Taita Taveta,116,mkbKajFxEDT,Wundanyi Sub County,TAITA TAVETA,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1189,Wumingu/kishushe Ward,118,MWZrkgY93fj,303,Wundanyi Sub County,59,Taita Taveta,118,MWZrkgY93fj,Wundanyi Sub County,TAITA TAVETA,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1221,Kibiri Ward,1548,HUoTkec6KhI,269,Karachuonyo Sub County,51,Homa Bay,1548,HUoTkec6KhI,Karachuonyo Sub County,Homa Bay,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1222,Wang'chieng Ward,1549,RcF7TZ3ciq5,269,Karachuonyo Sub County,51,Homa Bay,1549,RcF7TZ3ciq5,Karachuonyo Sub County,Homa Bay,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1223,Kendu Bay Town Ward,1550,bBfvGmNakj6,269,Karachuonyo Sub County,51,Homa Bay,1550,bBfvGmNakj6,Karachuonyo Sub County,Homa Bay,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1226,Homa Bay West Ward,1557,jjce8vXK50R,271,Homa Bay Town Sub County,51,Homa Bay,1557,jjce8vXK50R,Homa Bay Town Sub County,Homa Bay,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1229,Gembe Ward,1569,acibphi1EGX,273,Mbita Sub County,51,Homa Bay,1569,acibphi1EGX,Mbita Sub County,Homa Bay,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1230,Lambwe Ward,1570,vbgVuQPf9j7,273,Mbita Sub County,51,Homa Bay,1570,vbgVuQPf9j7,Mbita Sub County,Homa Bay,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1231,Gwassi South Ward,1571,AuOsnrKcOMF,310,Suba Sub County,51,Homa Bay,1571,AuOsnrKcOMF,Suba Sub County,Homa Bay,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1232,Gwassi North Ward,1572,gieorchg4LE,310,Suba Sub County,51,Homa Bay,1572,gieorchg4LE,Suba Sub County,Homa Bay,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1233,Kaksingiri West Ward,1573,zwpctzVflwm,310,Suba Sub County,51,Homa Bay,1573,zwpctzVflwm,Suba Sub County,Homa Bay,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1244,Ruma-kaksingiri East Ward,1574,UGCu7Ut7H7M,310,Suba Sub County,51,Homa Bay,1574,UGCu7Ut7H7M,Suba Sub County,Homa Bay,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1263,Mikinduni Ward,93,Tj925bvDisP,296,Galole Sub County,57,Tana River,93,Tj925bvDisP,Galole Sub County,TANA RIVER,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1275,Elgon Ward,1605,zxfCOXaz1ha,280,Mt Elgon Sub County,53,Bungoma,1605,zxfCOXaz1ha,Mt Elgon Sub County,Bungoma,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1281,Bukhayo West Ward,1721,xMPuIHmGdYe,323,Matayos Sub County,62,Busia,1721,xMPuIHmGdYe,Matayos Sub County,Busia,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1284,KOTULO,207,J9PHxsmBzgD,325,MANDERA SOUTH,63,Mandera,207,J9PHxsmBzgD,MANDERA SOUTH,MANDERA,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1285,ELWAK SOUTH,208,AEMY7F8XyZT,325,MANDERA SOUTH,63,Mandera,208,AEMY7F8XyZT,MANDERA SOUTH,MANDERA,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1286,SHAMBIR FATUMA,210,Z9zNkBFLY9r,325,MANDERA SOUTH,63,Mandera,210,Z9zNkBFLY9r,MANDERA SOUTH,MANDERA,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1294,SAGANTE/JALDESA,233,G2LQpPk5BXU,329,SAKU,64,Marsabit,233,G2LQpPk5BXU,SAKU,MARSABIT,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1295,Matayos South Ward,1723,UMeXjZoZxct,323,Matayos Sub County,62,Busia,1723,UMeXjZoZxct,Matayos Sub County,Busia,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1296,Busibwabo Ward,1724,cgTC3oqgmKg,323,Matayos Sub County,62,Busia,1724,cgTC3oqgmKg,Matayos Sub County,Busia,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1297,Burumba Ward,1725,Yk6G4ret1OC,323,Matayos Sub County,62,Busia,1725,Yk6G4ret1OC,Matayos Sub County,Busia,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1298,LAISAMIS,240,WWr7jojWGHJ,330,LAISAMIS,64,Marsabit,240,WWr7jojWGHJ,LAISAMIS,MARSABIT,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1329,Timau Ward,281,WnXi46WSP7B,337,Buuri Sub County,65,Meru,281,WnXi46WSP7B,Buuri Sub County,MERU,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1330,Kisima Ward,282,jhoqnpxdZY7,337,Buuri Sub County,65,Meru,282,jhoqnpxdZY7,Buuri Sub County,MERU,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1331,Kiirua Naari Ward,283,SKXh3KXdbVU,337,Buuri Sub County,65,Meru,283,SKXh3KXdbVU,Buuri Sub County,MERU,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1332,Ruiru Rwawera Ward,284,LXCb2xO5iF7,337,Buuri Sub County,65,Meru,284,LXCb2xO5iF7,Buuri Sub County,MERU,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1333,Mwangathia Ward,285,FJJRq7O0QcB,338,Imenti Central Sub County,65,Meru,285,FJJRq7O0QcB,Imenti Central Sub County,MERU,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1334,Abothuguchi central Ward,286,Ay0bToL5BTE,338,Imenti Central Sub County,65,Meru,286,Ay0bToL5BTE,Imenti Central Sub County,MERU,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1335,Abothuguchi west Ward,287,ZVoIw8oAOWZ,338,Imenti Central Sub County,65,Meru,287,ZVoIw8oAOWZ,Imenti Central Sub County,MERU,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1336,Kiagu Ward,288,zP5ACOAN4ty,338,Imenti Central Sub County,65,Meru,288,zP5ACOAN4ty,Imenti Central Sub County,MERU,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1337,Kibirichia Ward,289,IuCkCzLOGau,337,Buuri Sub County,65,Meru,289,IuCkCzLOGau,Buuri Sub County,MERU,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1344,Mitheru Ward,296,iRQ3mxm14gi,340,Muthambi Sub County,66,Tharaka Nithi,296,iRQ3mxm14gi,Muthambi Sub County,THARAKA-NITHI,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1345,Muthambi Ward,297,BkpZUfBGM9x,340,Muthambi Sub County,66,Tharaka Nithi,297,BkpZUfBGM9x,Muthambi Sub County,THARAKA-NITHI,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1346,Mwimbi Ward,298,VOpqnQgC8om,341,Mwimbi Sub County,66,Tharaka Nithi,298,VOpqnQgC8om,Mwimbi Sub County,THARAKA-NITHI,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1347,Namwela Ward,1606,CenIfdVZZdC,281,Sirisia Sub County,53,Bungoma,1606,CenIfdVZZdC,Sirisia Sub County,Bungoma,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1348,Charagita Ward,461,Yh0tdzyDjHY,342,Oljoroorok Sub County,67,Nyandarua,461,Yh0tdzyDjHY,Oljoroorok Sub County,NYANDARUA,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1349,Kabuchai/chwele Ward,1609,g9tqOcjTCbA,282,Kabuchai Sub County,53,Bungoma,1609,g9tqOcjTCbA,Kabuchai Sub County,Bungoma,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1350,Bwake/luuya Ward,1611,sKD6tJgPfbh,282,Kabuchai Sub County,53,Bungoma,1611,sKD6tJgPfbh,Kabuchai Sub County,Bungoma,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1351,Mumoni Ward,333,uyBigxC7fHZ,343,Mwingi North Sub County,68,Kitui,333,uyBigxC7fHZ,Mwingi North Sub County,KITUI,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1352,Tseikuru Ward,334,RJxeNbjGm71,343,Mwingi North Sub County,68,Kitui,334,RJxeNbjGm71,Mwingi North Sub County,KITUI,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1353,Tharaka Ward,335,bBYJtOmYctd,343,Mwingi North Sub County,68,Kitui,335,bBYJtOmYctd,Mwingi North Sub County,KITUI,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1354,Kyome/thaana Ward,336,tKZn1p295Nb,344,Mwingi West Sub County,68,Kitui,336,tKZn1p295Nb,Mwingi West Sub County,KITUI,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
1355,Nguutani Ward,337,wBisHlJd2aK,344,Mwingi West Sub County,68,Kitui,337,wBisHlJd2aK,Mwingi West Sub County,KITUI,,,,,AUTHORITATIVE_SUBCOUNTY_NOT_FOUND_IN_CANONICAL_SOURCE
